category,item,variety,date,price,unit,year,month,day
fruit,apples,bramleys_seedling,2022-03-11,2.05,kg,2022,3,11
fruit,apples,coxs_orange_group,2022-03-11,1.22,kg,2022,3,11
fruit,apples,egremont_russet,2022-03-11,1.14,kg,2022,3,11
fruit,apples,braeburn,2022-03-11,1.05,kg,2022,3,11
fruit,apples,gala,2022-03-11,1.03,kg,2022,3,11
fruit,apples,other_late_season,2022-03-11,0.85,kg,2022,3,11
fruit,pears,conference,2022-03-11,0.77,kg,2022,3,11
fruit,pears,doyenne_du_comice,2022-03-11,1.24,kg,2022,3,11
vegetable,beetroot,beetroot,2022-03-11,0.52,kg,2022,3,11
vegetable,brussels_sprouts,brussels_sprouts,2022-03-11,0.78,kg,2022,3,11
vegetable,pak_choi,pak_choi,2022-03-11,3.17,kg,2022,3,11
vegetable,curly_kale,curly_kale,2022-03-11,3.17,kg,2022,3,11
vegetable,cabbage,red,2022-03-11,0.59,kg,2022,3,11
vegetable,cabbage,savoy,2022-03-11,0.51,head,2022,3,11
vegetable,spring_greens,prepacked,2022-03-11,1.04,kg,2022,3,11
vegetable,cabbage,white,2022-03-11,0.41,kg,2022,3,11
vegetable,cabbage,round_green_other,2022-03-11,0.46,head,2022,3,11
vegetable,carrots,topped_washed,2022-03-11,0.42,kg,2022,3,11
vegetable,cauliflower,all,2022-03-11,0.7,head,2022,3,11
vegetable,celeriac,celeriac,2022-03-11,0.81,kg,2022,3,11
vegetable,cucumbers,cucumbers,2022-03-11,1.35,kg,2022,3,11
vegetable,leeks,trimmed,2022-03-11,1.12,kg,2022,3,11
vegetable,lettuce,butterhead_indoor,2022-03-11,0.44,head,2022,3,11
vegetable,lettuce,little_gem,2022-03-11,0.78,twin,2022,3,11
vegetable,onion,bulb_brown,2022-03-11,0.39,kg,2022,3,11
vegetable,onion,bulb_red,2022-03-11,0.59,kg,2022,3,11
vegetable,swede,swede,2022-03-11,0.24,kg,2022,3,11
vegetable,turnip,turnip,2022-03-11,0.63,kg,2022,3,11
vegetable,parsnips,all_varieties,2022-03-11,1.0,kg,2022,3,11
vegetable,rhubarb,forced,2022-03-11,4.35,kg,2022,3,11
vegetable,rhubarb,outdoor,2022-03-11,3.07,kg,2022,3,11
fruit,apples,bramleys_seedling,2022-03-04,1.89,kg,2022,3,4
fruit,apples,coxs_orange_group,2022-03-04,1.17,kg,2022,3,4
fruit,apples,egremont_russet,2022-03-04,1.16,kg,2022,3,4
fruit,apples,braeburn,2022-03-04,1.07,kg,2022,3,4
fruit,apples,gala,2022-03-04,1.06,kg,2022,3,4
fruit,apples,other_late_season,2022-03-04,1.11,kg,2022,3,4
fruit,pears,conference,2022-03-04,0.88,kg,2022,3,4
fruit,pears,doyenne_du_comice,2022-03-04,1.03,kg,2022,3,4
vegetable,beetroot,beetroot,2022-03-04,0.5,kg,2022,3,4
vegetable,brussels_sprouts,brussels_sprouts,2022-03-04,0.77,kg,2022,3,4
vegetable,pak_choi,pak_choi,2022-03-04,3.21,kg,2022,3,4
vegetable,curly_kale,curly_kale,2022-03-04,3.17,kg,2022,3,4
vegetable,cabbage,red,2022-03-04,0.56,kg,2022,3,4
vegetable,cabbage,savoy,2022-03-04,0.52,head,2022,3,4
vegetable,spring_greens,prepacked,2022-03-04,1.05,kg,2022,3,4
vegetable,cabbage,white,2022-03-04,0.38,kg,2022,3,4
vegetable,cabbage,round_green_other,2022-03-04,0.47,head,2022,3,4
